name,category,purpose_keywords,supported_skills,source,tool_id
OpenAI API,LLM API,Natural language reasoning and generation,,imported,
Pinecone,Vector Database,RAG and semantic search,,imported,
PostgreSQL,Database,Structured relational data storage,,imported,
Google Search API,Search Engine,External information retrieval,,imported,
LangChain,AI Framework,Agent orchestration and tool integration,,imported,
Anthropic Claude API,LLM API,"Advanced reasoning, code generation, and long-context tasks",,imported,
LangChain,AI Framework,"Chain LLM calls, tools, and memory into agentic workflows",,imported,
LlamaIndex,AI Framework,Index and query documents for LLM-powered retrieval,,imported,
Hugging Face Hub,Model Registry,Access and deploy open-source ML models and datasets,,imported,
Weaviate,Vector Database,Open-source vector DB for semantic search and RAG,,imported,
Chroma,Vector Database,Lightweight embeddable vector store for LLM applications,,imported,
Qdrant,Vector Database,High-performance vector similarity search engine,,imported,
MLflow,MLOps,"Track ML experiments, package models, and manage deployments",,imported,
Weights & Biases,MLOps,"Experiment tracking, model versioning, and visualisation",,imported,
Apache Airflow,Orchestration,Schedule and monitor complex data pipeline workflows,,imported,
Prefect,Orchestration,Modern Python-native orchestration for data workflows,,imported,
dbt,Data Transformation,SQL-first data transformation for analytics pipelines,,imported,
Apache Kafka,Streaming,Distributed event streaming for real-time data pipelines,,imported,
Apache Spark,Big Data,Large-scale distributed data processing and analytics,,imported,
Snowflake,Data Warehouse,Cloud data warehouse for scalable analytics workloads,,imported,
BigQuery,Data Warehouse,Google serverless data warehouse for massive-scale SQL analytics,,imported,
Databricks,Data Platform,Unified analytics platform built on Apache Spark,,imported,
FastAPI,Web Framework,High-performance async Python framework for building APIs,,imported,
Docker,Containerisation,Package and run applications in isolated containers,,imported,
Kubernetes,Container Orchestration,Automate deployment and scaling of containerised applications,,imported,
Terraform,Infrastructure as Code,Provision and manage cloud infrastructure declaratively,,imported,
AWS SageMaker,Cloud ML,Managed end-to-end ML platform on AWS,,imported,
Google Vertex AI,Cloud ML,Google Cloud managed ML training and serving platform,,imported,
Azure ML,Cloud ML,Microsoft managed ML service with AutoML capabilities,,imported,
Grafana,Monitoring,"Visualise metrics, logs, and traces in real-time dashboards",,imported,
Prometheus,Monitoring,Time-series metrics collection and alerting for systems,,imported,
Elasticsearch,Search,Distributed full-text search and analytics engine,,imported,
Redis,Cache,In-memory key-value store for caching and session management,,imported,
MongoDB,NoSQL Database,Flexible document-oriented database for unstructured data,,imported,
GitHub Actions,CI/CD,"Automate build, test, and deploy workflows on GitHub",,imported,
ArgoCD,GitOps,Declarative continuous delivery for Kubernetes applications,,imported,
Helm,Package Manager,Manage Kubernetes application deployments with charts,,imported,
Jupyter Notebook,Development,Interactive notebook environment for data science and ML,,imported,
VS Code,IDE,Lightweight code editor with rich extension ecosystem,,imported,
Postman,API Testing,"Design, test, and document REST APIs interactively",,imported,
Jira,Project Management,"Track issues, sprints, and project progress for dev teams",,imported,
Confluence,Documentation,Team wiki and knowledge base for collaborative documentation,,imported,
Notion,Productivity,"All-in-one workspace for notes, wikis, and project tracking",,imported,
Figma,Design,Collaborative interface design and prototyping in the browser,,imported,
Tableau,Data Visualisation,Interactive business intelligence and analytics dashboards,,imported,
Power BI,Data Visualisation,Microsoft business analytics and reporting platform,,imported,
Streamlit,ML Apps,Build interactive ML and data apps quickly in Python,,imported,
Gradio,ML Apps,Create web UIs for ML models with minimal code,,imported,
Ray,Distributed Computing,Scale Python ML and data workloads across clusters,,imported,
ONNX Runtime,Model Serving,Cross-platform inference engine for optimised ML models,,imported,
Triton Inference Server,Model Serving,High-throughput GPU model serving by NVIDIA,,imported,
Vault,Secrets Management,"Securely store and manage secrets, tokens, and certificates",,imported,
Snyk,Security,Find and fix vulnerabilities in code and dependencies,,imported,
Semgrep,Static Analysis,Scan source code for bugs and security issues automatically,,imported,
Datadog,Observability,"Full-stack monitoring, APM, and security in one platform",,imported,
